loopid,backend_file_repeat,backend_file_repeat,file_backend_repeat,file_backend_repeat,repeat_file_backend,repeat_file_backend,backend_file_repeat,backend_file_repeat,file_backend_repeat,file_backend_repeat,repeat_file_backend,repeat_file_backend
which,loadtime,loadtime,loadtime,loadtime,loadtime,loadtime,simtime,simtime,simtime,simtime,simtime,simtime
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
sbml,,,,,,,,,,,,
D:\roadrunner\temp-biomodels\final\BIOMD0000000046/BIOMD0000000046_url.xml,0.014576480000000025,0.005210461162124004,0.016563620000000157,0.0031136010336907712,0.015189860000007726,0.0036449299942503755,0.015313999999999873,0.005252244911940309,0.017326539999999824,0.0030993848055713064,0.01601524000002108,0.0036667353699112747
D:\roadrunner\temp-biomodels\final\BIOMD0000000047/BIOMD0000000047_url.xml,0.008125759999999893,0.002560952670003818,0.010666419999999021,0.002972845930587133,0.010250540000002495,0.002814532891604547,0.00894245999999992,0.002556298363454695,0.011609859999999372,0.002945359707744885,0.011089439999990347,0.0028164975914912595
D:\roadrunner\temp-biomodels\final\BIOMD0000000048/BIOMD0000000048_url.xml,0.0211433999999997,0.003984727983187982,0.025341560000000384,0.004102907054515346,0.023344239999992845,0.004166025608780687,0.02187656000000011,0.004022874816968596,0.026203499999999734,0.004126753587869981,0.02412397999998852,0.0041870062278659605
D:\roadrunner\temp-biomodels\final\BIOMD0000000049/BIOMD0000000049_url.xml,0.10828973999999984,0.012612086102742838,0.13391061999999962,0.012080297420676192,0.10311390000002163,0.01581220885929392,0.11417826000000009,0.01285372973276645,0.1403646800000004,0.012371605823094593,0.10915228000001029,0.015968442420813307
D:\roadrunner\temp-biomodels\final\BIOMD0000000050/BIOMD0000000050_url.xml,0.012741620000000254,0.004644868872960444,0.015919939999999855,0.0068865267713843605,0.018990039999971307,0.0062632360823144835,0.013427300000000208,0.004696039686267344,0.016717779999999748,0.006949260996465686,0.01970690000001287,0.006300290460767909
D:\roadrunner\temp-biomodels\final\BIOMD0000000051/BIOMD0000000051_url.xml,0.03767373999999997,0.005787378576955431,0.039042659999999785,0.008665086983002614,0.03735151999999538,0.006448191692794081,0.04228103999999977,0.005895828260134591,0.04374585999999923,0.008663359014435065,0.04179505999999158,0.006447003073367837
D:\roadrunner\temp-biomodels\final\BIOMD0000000052/BIOMD0000000052_url.xml,0.011271260000000182,0.004732040450270719,0.011648020000000514,0.0033464385011532562,0.012601100000013155,0.0027839701929053737,0.011934239999999896,0.004771935928739821,0.012379920000000055,0.003339470304854308,0.01325338000001377,0.002806073119502497
D:\roadrunner\temp-biomodels\final\BIOMD0000000053/BIOMD0000000053_url.xml,0.009920359999999916,0.002798423530847403,0.012685200000001373,0.004055151742537464,0.011697179999984897,0.002608700658761567,0.010483739999999742,0.0028172656021396656,0.01341284000000087,0.004097291532585108,0.012301459999993903,0.0026214971167209337
D:\roadrunner\temp-biomodels\final\BIOMD0000000054/BIOMD0000000054_url.xml,0.009156439999999755,0.0031538078449709402,0.010043640000000664,0.002827388734857495,0.010836320000035116,0.0026586345004486543,0.009755999999999787,0.00316038149754128,0.010673020000000833,0.0028227757220502937,0.011465220000031806,0.0026529832136727906
D:\roadrunner\temp-biomodels\final\BIOMD0000000055/BIOMD0000000055_url.xml,0.027759840000000046,0.006613446082262953,0.023383619999999893,0.004105484632415054,0.02712994000002098,0.004691411554388443,0.03278529999999993,0.006944707104335153,0.028114200000000266,0.004066048356204824,0.03231156000001452,0.005562559246223746
D:\roadrunner\temp-biomodels\final\BIOMD0000000056/BIOMD0000000056_url.xml,0.07603546000000012,0.009426123931022483,0.07044143999999904,0.009001409040700781,0.07375010000001225,0.009033426444865926,0.08053352,0.009487181591336737,0.0748758599999995,0.009009642919839148,0.07786880000002298,0.009086001415328242
D:\roadrunner\temp-biomodels\final\BIOMD0000000057/BIOMD0000000057_url.xml,0.0129915200000001,0.003657204263094872,0.012281979999999493,0.004579488801929054,0.0179696399999834,0.0033039967876913844,0.013621960000000044,0.0037036491495549043,0.012893099999998724,0.004603935954158686,0.01875605999997898,0.0034740344864719907
D:\roadrunner\temp-biomodels\final\BIOMD0000000058/BIOMD0000000058_url.xml,0.01206569999999978,0.00268080840326193,0.012278059999999869,0.0025292607414020484,0.015529299999981205,0.004100171650673185,0.01400357999999997,0.0026638358267729485,0.014147499999999268,0.0025659603533571876,0.01784097999998959,0.004792251440290203
D:\roadrunner\temp-biomodels\final\BIOMD0000000059/BIOMD0000000059_url.xml,0.037204000000000015,0.009869486903329972,0.03377195999999927,0.009758436250395196,0.04387866000000731,0.014215509583136695,0.03802820000000011,0.009954782411484618,0.034547339999998886,0.009743156766572756,0.044884880000023664,0.014606280857447399
D:\roadrunner\temp-biomodels\final\BIOMD0000000060/BIOMD0000000060_url.xml,0.007713079999999728,0.00193270785997287,0.007227099999997932,0.0030698762401752695,0.010301219999991318,0.0024020249898800907,0.008294979999999974,0.001925027035394726,0.00776593999999804,0.003086439782823628,0.010901499999980935,0.0024012437579467283
D:\roadrunner\temp-biomodels\final\BIOMD0000000061/BIOMD0000000061_url.xml,0.02902956000000003,0.0025822240536017976,0.02467319999999944,0.0038370270698813895,0.029776239999983467,0.004181692124364857,0.05548040000000043,0.0030584881992577143,0.04877486000000033,0.0037030482825644376,0.05507405999999602,0.0051067054181598475
D:\roadrunner\temp-biomodels\final\BIOMD0000000062/BIOMD0000000062_url.xml,0.010088380000000185,0.003898349884501418,0.008655899999999406,0.003092259291359006,0.011551640000011432,0.002545568057048757,0.01072006000000023,0.00389537481546997,0.00918044000000009,0.003091784348560001,0.012130820000021636,0.0025562609925405696
D:\roadrunner\temp-biomodels\final\BIOMD0000000063/BIOMD0000000063_url.xml,0.027751639999999966,0.0073385557576410455,0.023792659999999445,0.004986354436159424,0.023912339999982456,0.00445690734848347,0.028957640000000496,0.007555970781640182,0.02490228000000059,0.005060269958411975,0.024920800000018062,0.004442092045970756
D:\roadrunner\temp-biomodels\final\BIOMD0000000064/BIOMD0000000064_url.xml,0.03981470000000016,0.009587765213281202,0.03467674000000045,0.007235581087792293,0.03845928000001582,0.006248192869696368,0.04491869999999949,0.009622714919657976,0.0395786199999975,0.007191334912380493,0.043432360000010384,0.006277985569661216
D:\roadrunner\temp-biomodels\final\BIOMD0000000065/BIOMD0000000065_url.xml,0.014570400000000205,0.0036550626745651756,0.014410939999999072,0.004040407294197537,0.017159540000010055,0.003764970595250566,0.015278859999999738,0.003659598300770007,0.01511425999999858,0.00406226615609959,0.017901940000007242,0.003803786258857034
D:\roadrunner\temp-biomodels\final\BIOMD0000000066/BIOMD0000000066_url.xml,0.01544249999999998,0.0036615376196344578,0.014291619999998773,0.0027977111880952226,0.01650818000001806,0.0032013490534521334,0.01624705999999989,0.0036968628494978466,0.015100680000000467,0.002796416517973271,0.01733246000002957,0.003203814197639483
D:\roadrunner\temp-biomodels\final\BIOMD0000000067/BIOMD0000000067_url.xml,0.013599999999999923,0.0029496221775004924,0.016080959999999322,0.004390198723066954,0.014358579999997545,0.0025471439097445,0.014843940000000088,0.002943746686282773,0.017486679999998957,0.00439469690615832,0.015597100000003649,0.0025444975948038144
D:\roadrunner\temp-biomodels\final\BIOMD0000000068/BIOMD0000000068_url.xml,0.009149780000000263,0.0029182477973951357,0.010939919999999858,0.0033929176245521804,0.010967420000010008,0.0023963110100826144,0.009585379999999689,0.0029522396806496575,0.011523160000001554,0.0034319941976922713,0.011424139999995475,0.0024035488226822753
D:\roadrunner\temp-biomodels\final\BIOMD0000000069/BIOMD0000000069_url.xml,0.011549540000000035,0.0026789221102902624,0.012303659999999184,0.0034860009743243525,0.013203919999979875,0.0021827990281030408,0.012271300000000452,0.0026682927050834006,0.013073959999999829,0.003534329071124032,0.013943199999985723,0.002162215156972409
D:\roadrunner\temp-biomodels\final\BIOMD0000000070/BIOMD0000000070_url.xml,0.04724684000000003,0.008473990491674403,0.057413900000003085,0.021002364146449137,0.044792880000016314,0.006375743211329902,0.05060250000000046,0.008478971878417594,0.06129042000000311,0.021471687732617976,0.0481845399999834,0.006413690082392064
D:\roadrunner\temp-biomodels\final\BIOMD0000000071/BIOMD0000000071_url.xml,0.05826677999999923,0.013791622013816836,0.0577654200000012,0.02067856759756452,0.05908630000001232,0.008992632391828717,0.06046089999999964,0.014012983684248153,0.05983182000000227,0.02073644155025064,0.06113208000002821,0.008963534070695353
D:\roadrunner\temp-biomodels\final\BIOMD0000000072/BIOMD0000000072_url.xml,0.00906778000000017,0.0026631272081899626,0.008742700000000525,0.0033039124617659467,0.012017060000020407,0.0024058807894342393,0.00994887999999996,0.0026623536019849178,0.009566119999999501,0.003313806528302725,0.012885640000017773,0.0024091593374082113
D:\roadrunner\temp-biomodels\final\BIOMD0000000073/BIOMD0000000073_url.xml,0.023954999999999414,0.0038502103598372387,0.021422920000000546,0.0038384756391068296,0.024068720000009237,0.003031127594964477,0.026140539999999747,0.0038808385618319665,0.023435039999999675,0.00387288868456063,0.026084460000002706,0.002989889976723498
D:\roadrunner\temp-biomodels\final\BIOMD0000000074/BIOMD0000000074_url.xml,0.02945868000000047,0.004136702074358642,0.025187499999999828,0.005598459281354916,0.02729904000000083,0.004430135291740557,0.031918740000000057,0.00424489604619461,0.027322760000001268,0.005606420119202643,0.029474260000001352,0.004496019350852957
D:\roadrunner\temp-biomodels\final\BIOMD0000000075/BIOMD0000000075_url.xml,0.02100536000000055,0.004598850058764776,0.019182599999997763,0.00401638468463859,0.02245912000001162,0.00425656204134898,0.021774880000000253,0.004616302502760858,0.01991045999999841,0.004006900815843755,0.023230040000009212,0.004315343073604302
D:\roadrunner\temp-biomodels\final\BIOMD0000000076/BIOMD0000000076_url.xml,0.008290799999999977,0.0018233717284203363,0.007877340000001709,0.00298173835337869,0.008781220000004452,0.002361659463582728,0.008721479999999815,0.0018138586582200176,0.008278100000001131,0.002996525124206107,0.00917645999999408,0.0023771369024741403
D:\roadrunner\temp-biomodels\final\BIOMD0000000077/BIOMD0000000077_url.xml,0.010012980000000126,0.0028324159073129978,0.00957757999999842,0.0026116949969317575,0.011204559999985264,0.0027344275621852838,0.011027520000000023,0.0028256545218759417,0.010548179999999263,0.0026150201790801873,0.012183080000006185,0.002784677736639621
